Column,year,order,name,author,rating,review,type,price,category
0,2021,#1,American Marxism,Mark R. Levin,4.9 out of 5 stars,"21,660",Hardcover,$14.00,Books/Politics & Social Sciences/Politics & Government
1,2021,#2,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8 out of 5 stars,"56,314",Hardcover,$11.98,"Books/Health, Fitness & Dieting/Psychology & Counseling"
2,2021,#3,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7 out of 5 stars,"68,548",Paperback,$5.77,Books/Self-Help/Personal Transformation
3,2021,#4,If Animals Kissed Good Night,Ann Whitford Paul,4.8 out of 5 stars,"57,767",Board book,$4.44,Books/Children's Books/Growing Up & Facts of Life
4,2021,#5,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8 out of 5 stars,"38,789",Paperback,$11.40,Books/Medical Books/Medicine
5,2021,#6,I Love You to the Moon and Back,Amelia Hepworth,4.9 out of 5 stars,"44,094",Board book,$4.28,Books/Children's Books/Growing Up & Facts of Life
6,2021,#7,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.8 out of 5 stars,"86,696",Hardcover,$10.90,Books/Comics & Graphic Novels/Graphic Novels
7,2021,#8,The Very Hungry Caterpillar,Eric Carle,4.9 out of 5 stars,"42,413",Board book,$5.06,Books/Children's Books/Early Learning
8,2021,#9,It Ends With Us: A Novel,Colleen Hoover,4.7 out of 5 stars,"40,785",Paperback,$9.47,Books/Literature & Fiction/Women's Fiction
9,2021,#10,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,4.8 out of 5 stars,"63,723",Paperback,$4.53,Books/Children's Books/Education & Reference
10,2021,#11,The Four Winds: A Novel,Kristin Hannah,4.5 out of 5 stars,"82,157",Hardcover,$14.00,Books/Literature & Fiction/Genre Fiction
11,2021,#12,The Midnight Library: A Novel,Matt Haig,4.3 out of 5 stars,"119,019",Hardcover,$13.29,Books/Science Fiction & Fantasy/Science Fiction
12,2021,#13,Dog Man: Mothering Heights: A Graphic Novel (Dog Man #10): From the Creator of Captain Underpants (10),Dav Pilkey,4.9 out of 5 stars,"15,640",Hardcover,$6.62,Books/Children's Books/Comics & Graphic Novels
13,2021,#14,The Last Thing He Told Me: A Novel,Laura Dave,4.3 out of 5 stars,"53,522",Hardcover,$14.00,Books/Literature & Fiction/Genre Fiction
14,2021,#15,The 48 Laws of Power,Robert Greene,4.7 out of 5 stars,"32,693",Paperback,$12.00,Books/Politics & Social Sciences/Politics & Government
15,2021,#16,"Oh, the Places You'll Go!",Dr. Seuss,4.9 out of 5 stars,"33,362",Hardcover,$8.98,Books/Children's Books/Classics
16,2021,#17,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.7 out of 5 stars,"63,172",Paperback,$14.64,Books/Business & Money/Personal Finance
17,2021,#18,The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,4.6 out of 5 stars,"37,107",Paperback,$9.42,Books/Literature & Fiction/Genre Fiction
18,2017,#1,Wonder,R. J. Palacio,4.8 out of 5 stars,"32,336",Hardcover,$9.72,Books/Children's Books/Growing Up & Facts of Life
19,2021,#19,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9 out of 5 stars,"35,581",Board book,$5.36,Books/Children's Books/Early Learning
20,2017,#2,Milk and Honey,Rupi Kaur,4.7 out of 5 stars,"37,225",Paperback,$7.38,Books/Literature & Fiction/Poetry
21,2021,#20,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8 out of 5 stars,"58,222",Paperback,$7.57,Books/Self-Help/Relationships
22,2017,#3,Giraffes Can't Dance,Giles Andreae,4.8 out of 5 stars,"27,076",Board book,$6.28,"Books/Children's Books/Arts, Music & Photography"
23,2021,#21,1984,George Orwell,4.7 out of 5 stars,"54,949",Mass Market Paperback,$7.48,Books/Literature & Fiction/Genre Fiction
24,2017,#4,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6 out of 5 stars,"57,656",Hardcover,$11.50,Books/Self-Help/Happiness
25,2009,#1,The Lost Symbol,Dan Brown,4.3 out of 5 stars,"12,697",Hardcover,$6.00,"Books/Mystery, Thriller & Suspense/Thrillers & Suspense"
26,2021,#22,Peril,Bob Woodward,4.5 out of 5 stars,"11,133",Hardcover,$15.00,Books/Biographies & Memoirs/Leaders & Notable People
27,2017,#5,The Getaway,Jeff Kinney,4.8 out of 5 stars,"13,032",Hardcover,$14.74,Books/Children's Books/Growing Up & Facts of Life
28,2017,#6,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.4 out of 5 stars,"11,687",Paperback,$8.97,"Books/Cookbooks, Food & Wine/Cooking by Ingredient"
29,2009,#2,The Shack: Where Tragedy Confronts Eternity,William P. Young,4.7 out of 5 stars,"22,117",Paperback,$8.25,Books/Christian Books & Bibles/Literature & Fiction
30,2009,#3,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8 out of 5 stars,"4,735",Hardcover,$17.51,Books/Politics & Social Sciences/Politics & Government
31,2021,#23,Big Shot Diary of a Wimpy Kid Book 16,Jeff Kinney,4.8 out of 5 stars,"2,266",Hardcover,$7.49,Books/Children's Books/Humor
32,2017,#7,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.5 out of 5 stars,"26,953",Hardcover,$12.35,Books/Biographies & Memoirs/Historical
33,2009,#4,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.7 out of 5 stars,"14,610",Hardcover,$19.65,Books/Teen & Young Adult/Science Fiction & Fantasy
34,2009,#5,Going Rogue: An American Life,Sarah Palin,4.6 out of 5 stars,"1,573",Hardcover,$2.49,Books/History/Americas
35,2021,#24,Burn After Writing (Pink),Sharon Jones,4.6 out of 5 stars,"18,350",Paperback,$6.99,"Books/Reference/Writing, Research & Publishing Guides"
36,2017,#8,Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7 out of 5 stars,"17,618",Hardcover,$9.49,Books/History/Americas
37,2008,#1,"A New Earth: Awakening to Your Life's Purpose (Oprah's Book Club, Selection 61)",Eckhart Tolle,4.7 out of 5 stars,"10,001",Paperback,$8.93,"Books/Health, Fitness & Dieting/Alternative Medicine"
38,2009,#6,StrengthsFinder 2.0,Tom Rath,4.1 out of 5 stars,"6,340",Hardcover,$18.33,Books/Business & Money/Management & Leadership
39,2021,#25,Untamed,Glennon Doyle,4.6 out of 5 stars,"56,075",Hardcover,$16.73,Books/Christian Books & Bibles/Christian Living
40,2017,#9,First 100 Words: A Padded Board Book,Roger Priddy,4.7 out of 5 stars,"31,229",Board book,$4.78,Books/Children's Books/Education & Reference
41,2008,#2,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.7 out of 5 stars,"14,610",Hardcover,$19.65,Books/Teen & Young Adult/Science Fiction & Fantasy
42,1999,#1,Harry Potter and the Prisoner of Azkaban (3),J.K. Rowling,4.9 out of 5 stars,"33,197",Hardcover,$13.97,Books/Children's Books/Growing Up & Facts of Life
43,2009,#7,The Help,Kathryn Stockett,4.8 out of 5 stars,"16,446",Hardcover,$12.49,Books/Literature & Fiction/United States
44,2000,#1,Harry Potter and the Goblet of Fire (4),J.K. Rowling,4.9 out of 5 stars,"30,780",Hardcover,$14.36,Books/Children's Books/Growing Up & Facts of Life
45,2021,#26,The Hill We Climb: An Inaugural Poem for the Country,Amanda Gorman,4.9 out of 5 stars,"12,146",Hardcover,$7.18,Books/Literature & Fiction/Poetry
46,2021,#27,Greenlights,Matthew McConaughey,4.7 out of 5 stars,"47,566",Hardcover,$16.95,Books/Biographies & Memoirs/Arts & Literature
47,2017,#10,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6 out of 5 stars,"13,931",Hardcover,$14.98,"Books/Cookbooks, Food & Wine/Special Diet"
48,2017,#11,The Handmaid's Tale,Margaret Atwood,4.4 out of 5 stars,"50,084",Paperback,$7.99,Books/Literature & Fiction/Genre Fiction
49,2008,#3,The Shack: Where Tragedy Confronts Eternity,William P. Young,4.7 out of 5 stars,"22,117",Paperback,$8.25,Books/Christian Books & Bibles/Literature & Fiction
50,2001,#1,Who Moved My Cheese,Spencer Johnson,4.6 out of 5 stars,"12,630",Hardcover,$9.00,Books/Business & Money/Business Culture
51,1999,#2,Harry Potter and the Chamber of Secrets,J.K. Rowling,4.9 out of 5 stars,"32,934",Hardcover,$11.94,Books/Children's Books/Growing Up & Facts of Life
52,2009,#8,New Moon (The Twilight Saga),Stephenie Meyer,4.7 out of 5 stars,"9,772",Paperback,$11.67,Books/Teen & Young Adult/Science Fiction & Fantasy
53,2000,#2,Who Moved My Cheese,Spencer Johnson,4.6 out of 5 stars,"12,630",Hardcover,$9.00,Books/Business & Money/Business Culture
54,2021,#28,Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,4.8 out of 5 stars,"35,903",Hardcover,$14.79,Books/History/Americas
55,2017,#12,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8 out of 5 stars,"58,222",Paperback,$7.57,Books/Self-Help/Relationships
56,2017,#13,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.7 out of 5 stars,"30,917",Paperback,$8.45,Books/Self-Help/Happiness
57,2008,#4,The Last Lecture,Randy Pausch,4.7 out of 5 stars,"5,020",Hardcover,$17.26,Books/Biographies & Memoirs/Professionals & Academics
58,2001,#2,The Prayer of Jabez: Breaking Through to the Blessed Life,Bruce H. Wilkinson,4.8 out of 5 stars,913,Hardcover,$4.64,Books/Christian Books & Bibles/Bible Study & Reference
59,1999,#3,Harry Potter and the Sorcerer's Stone (1),J.K. Rowling,4.9 out of 5 stars,"6,827",Hardcover,$13.49,Books/Children's Books/Growing Up & Facts of Life
