year,Amazon English Books,Tiki English Books,Tiki Vietnamese Books
1995,15.618061224489795,,
1996,12.5962,,
1997,15.805555555555555,,
1998,14.408499999999998,,
1999,12.9779,,
2000,11.9602,,
2001,12.4175,,
2002,12.8899,,
2003,13.577777777777778,,
2004,12.4308,,
2005,16.0205,,
2006,13.5463,,
2007,15.3827,,
2008,17.65848484848485,,
2009,14.611649484536082,,
2010,14.126734693877552,,
2011,14.405252525252525,9.7652,2.8832
2012,13.333131313131313,11.9385,2.9871
2013,14.8641,12.9309,2.9414
2014,12.976262626262628,10.0794,3.3335000000000004
2015,11.230599999999999,5.4769000000000005,3.7546
2016,11.265,8.9202,3.4242000000000004
2017,12.007474747474747,10.9954,3.8909
2018,11.756200000000002,10.7276,4.1531
2019,10.648787878787878,10.014800000000001,3.8635
2020,10.1706,9.264199999999999,4.6488
2021,11.4255,,
