ASIN,category
150113597X,Books/Politics & Social Sciences/Politics & Government
0735211299,"Books/Health, Fitness & Dieting/Psychology & Counseling"
1878424319,Books/Self-Help/Personal Transformation
0143127748,Books/Medical Books/Medicine
0374300216,Books/Children's Books/Growing Up & Facts of Life
1589255518,Books/Children's Books/Growing Up & Facts of Life
0062976583,Books/Comics & Graphic Novels/Graphic Novels
1501110365,Books/Literature & Fiction/Women's Fiction
0399226907,Books/Children's Books/Early Learning
1641526270,Books/Children's Books/Education & Reference
1250178606,Books/Literature & Fiction/Genre Fiction
0525559477,Books/Science Fiction & Fantasy/Science Fiction
1338680455,Books/Children's Books/Comics & Graphic Novels
1501171348,Books/Literature & Fiction/Genre Fiction
0140280197,Books/Politics & Social Sciences/Politics & Government
0679805273,Books/Children's Books/Classics
1612680178,Books/Business & Money/Personal Finance
1501161938,Books/Literature & Fiction/Genre Fiction
0375869026,Books/Children's Books/Growing Up & Facts of Life
0805047905,Books/Children's Books/Early Learning
144947425X,Books/Literature & Fiction/Poetry
080241270X,Books/Self-Help/Relationships
0545392551,"Books/Children's Books/Arts, Music & Photography"
0451524934,Books/Literature & Fiction/Genre Fiction
0062457713,Books/Self-Help/Happiness
1982182911,Books/Biographies & Memoirs/Leaders & Notable People
0385504225,"Books/Mystery, Thriller & Suspense/Thrillers & Suspense"
1419725459,Books/Children's Books/Growing Up & Facts of Life
1623156122,"Books/Cookbooks, Food & Wine/Cooking by Ingredient"
0964729237,Books/Christian Books & Bibles/Literature & Fiction
1416562850,Books/Politics & Social Sciences/Politics & Government
1419749153,Books/Children's Books/Humor
0062300547,Books/Biographies & Memoirs/Historical
0593329910,"Books/Reference/Writing, Research & Publishing Guides"
031606792X,Books/Teen & Young Adult/Science Fiction & Fantasy
0061939897,Books/History/Americas
0393609391,Books/History/Americas
1984801252,Books/Christian Books & Bibles/Christian Living
0452289963,"Books/Health, Fitness & Dieting/Alternative Medicine"
159562015X,Books/Business & Money/Management & Leadership
0312510780,Books/Children's Books/Education & Reference
0399155341,Books/Literature & Fiction/United States
0439136350,Books/Children's Books/Growing Up & Facts of Life
0439139597,Books/Children's Books/Growing Up & Facts of Life
059346527X,Books/Literature & Fiction/Poetry
0593139135,Books/Biographies & Memoirs/Arts & Literature
0544609719,"Books/Cookbooks, Food & Wine/Special Diet"
038549081X,Books/Literature & Fiction/Genre Fiction
0439064864,Books/Children's Books/Growing Up & Facts of Life
0316024961,Books/Teen & Young Adult/Science Fiction & Fantasy
0593230256,Books/History/Americas
0399144463,Books/Business & Money/Business Culture
0762447699,Books/Self-Help/Happiness
1401323251,Books/Biographies & Memoirs/Professionals & Academics
0590353403,Books/Children's Books/Growing Up & Facts of Life
1576737330,Books/Christian Books & Bibles/Bible Study & Reference
0316031844,Books/Teen & Young Adult/Science Fiction & Fantasy
0441013597,Books/Science Fiction & Fantasy/Fantasy
1501175564,Books/Politics & Social Sciences/Politics & Government
0545128285,"Books/Children's Books/Fairy Tales, Folk Tales & Myths"
0452278384,"Books/Health, Fitness & Dieting/Diets & Weight Loss"
0684813637,Books/Biographies & Memoirs/Leaders & Notable People
0062060627,Books/Literature & Fiction/Genre Fiction
0385484518,Books/Self-Help/Death & Grief
0316017922,Books/Business & Money/Management & Leadership
0439284031,"Books/Children's Books/Activities, Crafts & Games"
1455570249,Books/Self-Help/Happiness
9387779262,Books/Children's Books/Education & Reference
0316160202,Books/Literature & Fiction/Genre Fiction
0316015849,Books/Teen & Young Adult/Science Fiction & Fantasy
0446528382,Books/Biographies & Memoirs/Professionals & Academics
1439168571,Books/History/Americas
0375502025,Books/History/Americas
0062315005,Books/Literature & Fiction/Genre Fiction
0060193395,"Books/Health, Fitness & Dieting/Diets & Weight Loss"
0671027034,
1524763136,Books/History/Americas
0786866020,Books/Business & Money/Business Culture
0451173392,"Books/Cookbooks, Food & Wine/Special Diet"
038529929X,"Books/Mystery, Thriller & Suspense/Thrillers & Suspense"
0143038257,Books/Biographies & Memoirs/Historical
0385497466,"Books/Mystery, Thriller & Suspense/Thrillers & Suspense"
0385741278,Books/Teen & Young Adult/Literature & Fiction
1400201659,Books/Christian Books & Bibles/Christian Living
0385514239,Books/Literature & Fiction/Action & Adventure
0375826726,Books/Teen & Young Adult/Literature & Fiction
0811826848,Books/Arts & Photography/Music
0385505833,Books/Literature & Fiction/Genre Fiction
0805448853,Books/Christian Books & Bibles/Christian Living
0062457802,Books/Teen & Young Adult/Literature & Fiction
030726999X,"Books/Mystery, Thriller & Suspense/Thrillers & Suspense"
0545261244,Books/Children's Books/Animals
1250158060,Books/Biographies & Memoirs/Leaders & Notable People
1476738025,Books/Literature & Fiction/Genre Fiction
1594868549,"Books/Health, Fitness & Dieting/Diets & Weight Loss"
1449486797,Books/Literature & Fiction/Poetry
0380727293,"Books/Health, Fitness & Dieting/Diets & Weight Loss"
0061728977,Books/Self-Help/Relationships
0810983915,Books/Children's Books/Growing Up & Facts of Life
1623159911,Books/Religion & Spirituality/New Age & Spirituality
0060930535,Books/Literature & Fiction/Contemporary
0307454541,"Books/Mystery, Thriller & Suspense/Thrillers & Suspense"
0066620996,Books/Politics & Social Sciences/Social Sciences
0735219095,Books/Literature & Fiction/Genre Fiction
141694737X,Books/Children's Books/Animals
1501175513,Books/Biographies & Memoirs/Leaders & Notable People
1439148503,Books/Literature & Fiction/Genre Fiction
0385493800,"Books/Mystery, Thriller & Suspense/Thrillers & Suspense"
059035342X,Books/Children's Books/Growing Up & Facts of Life
0446677450,Books/Business & Money/Investing
143383216X,"Books/Health, Fitness & Dieting/Psychology & Counseling"
145217380X,Books/Children's Books/Growing Up & Facts of Life
0307590615,Books/Biographies & Memoirs/Leaders & Notable People
0679781587,Books/Literature & Fiction/Genre Fiction
0143038419,"Books/Reference/Writing, Research & Publishing Guides"
0385341008,Books/Literature & Fiction/Genre Fiction
0684848783,Books/History/Americas
1524763160,Books/Biographies & Memoirs/Leaders & Notable People
0375407545,"Books/Health, Fitness & Dieting/Diets & Weight Loss"
1510766804,Books/Biographies & Memoirs/Professionals & Academics
043935806X,Books/Children's Books/Growing Up & Facts of Life
030745455X,"Books/Mystery, Thriller & Suspense/Thrillers & Suspense"
0399590501,Books/Biographies & Memoirs/Community & Culture
0671449028,Books/Children's Books/Early Learning
0316666343,Books/Literature & Fiction/Genre Fiction
0345816021,"Books/Health, Fitness & Dieting/Psychology & Counseling"
0316160199,Books/Science Fiction & Fantasy/Fantasy
0312195516,Books/Literature & Fiction/Genre Fiction
1605298387,"Books/Health, Fitness & Dieting/Diets & Weight Loss"
1982141468,Books/Biographies & Memoirs/Leaders & Notable People
0887431453,Books/Children's Books/Growing Up & Facts of Life
039914563X,"Books/Mystery, Thriller & Suspense/Thrillers & Suspense"
0345803485,Books/Literature & Fiction/Women's Fiction
0385504209,"Books/Mystery, Thriller & Suspense/Thrillers & Suspense"
1451648537,Books/Biographies & Memoirs/Professionals & Academics
0810984911,Books/Children's Books/Growing Up & Facts of Life
1338236598,Books/Children's Books/Animals
006282015X,"Books/Cookbooks, Food & Wine/Regional & International"
1577314808,"Books/Health, Fitness & Dieting/Alternative Medicine"
038550120X,Books/Literature & Fiction/Genre Fiction
1416595015,Books/Politics & Social Sciences/Politics & Government
0201633892,Books/Computers & Technology
