,link,dp
0,https://www.amazon.com/American-Marxism-Mark-R-Levin/dp/150113597X,150113597X
1,https://www.amazon.com/Atomic-Habits-Proven-Build-Break/dp/0735211299,0735211299
2,https://www.amazon.com/Four-Agreements-Practical-Personal-Freedom/dp/1878424319,1878424319
3,https://www.amazon.com/If-Animals-Kissed-Good-Night/dp/0374300216,0374300216
4,https://www.amazon.com/Body-Keeps-Score-Healing-Trauma/dp/0143127748,0143127748
5,https://www.amazon.com/I-Love-You-Moon-Back/dp/1589255518,1589255518
6,https://www.amazon.com/Boy-Mole-Fox-Horse/dp/0062976583,0062976583
7,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907,0399226907
8,https://www.amazon.com/Ends-Us-Novel-Colleen-Hoover/dp/1501110365,1501110365
9,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270,1641526270
10,https://www.amazon.com/Four-Winds-Novel-Kristin-Hannah/dp/1250178606,1250178606
11,https://www.amazon.com/Midnight-Library-Novel-Matt-Haig/dp/0525559477,0525559477
12,https://www.amazon.com/Dog-Man-Mothering-Heights-Underpants/dp/1338680455,1338680455
13,https://www.amazon.com/Last-Thing-He-Told-Me/dp/1501171348,1501171348
14,https://www.amazon.com/48-Laws-Power-Robert-Greene/dp/0140280197,0140280197
15,https://www.amazon.com/Oh-Places-Youll-Dr-Seuss/dp/0679805273,0679805273
16,https://www.amazon.com/Rich-Dad-Poor-Teach-Middle/dp/1612680178,1612680178
17,https://www.amazon.com/Seven-Husbands-Evelyn-Hugo-Novel/dp/1501161938,1501161938
18,https://www.amazon.com/Wonder-R-J-Palacio/dp/0375869026,0375869026
19,https://www.amazon.com/Brown-Bear-What-You-See/dp/0805047905,0805047905
20,https://www.amazon.com/Milk-Honey-Rupi-Kaur/dp/144947425X,144947425X
21,https://www.amazon.com/Love-Languages-Secret-that-Lasts/dp/080241270X,080241270X
22,https://www.amazon.com/Giraffes-Cant-Dance-Giles-Andreae/dp/0545392551,0545392551
23,https://www.amazon.com/1984-Signet-Classics-George-Orwell/dp/0451524934,0451524934
24,https://www.amazon.com/Subtle-Art-Not-Giving-Counterintuitive/dp/0062457713,0062457713
25,https://www.amazon.com/Lost-Symbol-Dan-Brown/dp/0385504225,0385504225
26,https://www.amazon.com/Peril-Bob-Woodward/dp/1982182911,1982182911
27,https://www.amazon.com/Getaway-Jeff-Kinney/dp/1419725459,1419725459
28,https://www.amazon.com/Instant-Electric-Pressure-Cooker-Cookbook/dp/1623156122,1623156122
29,https://www.amazon.com/Shack-Where-Tragedy-Confronts-Eternity/dp/0964729237,0964729237
30,https://www.amazon.com/Liberty-Tyranny-Conservative-Mark-Levin/dp/1416562850,1416562850
31,https://www.amazon.com/Big-Shot-Diary-Wimpy-Book/dp/1419749153,1419749153
